x	y	t	f
0.016667	0.016667	999	-0.024739
0.016667	0.033333	999	0.025999
0.016667	0.050000	999	-0.042950
0.016667	0.066667	999	0.023140
0.016667	0.083333	999	-0.016217
0.016667	0.100000	999	0.012890
0.016667	0.116667	999	0.000259
0.016667	0.133333	999	0.026807
0.016667	0.150000	999	-0.026769
0.016667	0.166667	999	0.042493
0.016667	0.183333	999	-0.052919
0.016667	0.200000	999	0.017338
0.016667	0.216667	999	-0.028961
0.016667	0.233333	999	-0.025066
0.016667	0.250000	999	0.018240
0.016667	0.266667	999	-0.021062
0.016667	0.283333	999	0.032126
0.016667	0.300000	999	0.013465
0.016667	0.316667	999	0.015918
0.016667	0.333333	999	-0.003488
0.016667	0.350000	999	0.015681
0.016667	0.366667	999	-0.058874
0.016667	0.383333	999	0.038927
0.016667	0.400000	999	-0.048579
0.016667	0.416667	999	0.041639
0.016667	0.433333	999	0.011965
0.016667	0.450000	999	0.004785
0.016667	0.466667	999	0.007673
0.016667	0.483333	999	-0.011270
0.016667	0.500000	999	-0.023467
0.016667	0.516667	999	0.020429
0.016667	0.533333	999	0.015563
0.016667	0.550000	999	-0.000252
0.016667	0.566667	999	0.048214
0.016667	0.583333	999	-0.062210
0.016667	0.600000	999	0.028798
0.016667	0.616667	999	-0.014536
0.016667	0.633333	999	0.012918
0.016667	0.650000	999	0.027705
0.016667	0.666667	999	-0.012159
0.016667	0.683333	999	-0.049129
0.016667	0.700000	999	0.011254
0.016667	0.716667	999	-0.038000
0.016667	0.733333	999	0.035028
0.016667	0.750000	999	0.022358
0.016667	0.766667	999	-0.045462
0.016667	0.783333	999	0.019958
0.016667	0.800000	999	-0.021280
0.016667	0.816667	999	0.007446
0.016667	0.833333	999	0.020297
0.016667	0.850000	999	-0.052337
0.016667	0.866667	999	-0.029712
0.016667	0.883333	999	-0.003809
0.016667	0.900000	999	0.006627
0.016667	0.916667	999	0.015523
0.016667	0.933333	999	0.007784
0.016667	0.950000	999	-0.029257
0.016667	0.966667	999	0.025634
0.016667	0.983333	999	0.037001
0.016667	1.000000	999	-0.026279
0.016667	1.016667	999	0.006985
0.016667	1.033333	999	-0.024841
0.016667	1.050000	999	0.009089
0.016667	1.066667	999	0.043661
0.016667	1.083333	999	-0.011032
0.016667	1.100000	999	-0.039902
0.016667	1.116667	999	0.062473
0.016667	1.133333	999	-0.043070
0.016667	1.150000	999	0.046637
0.016667	1.166667	999	-0.038862
0.016667	1.183333	999	-0.015964
0.016667	1.200000	999	0.049536
0.016667	1.216667	999	0.008846
0.016667	1.233333	999	-0.012119
0.016667	1.250000	999	-0.005309
0.016667	1.266667	999	0.019531
0.016667	1.283333	999	-0.012830
0.016667	1.300000	999	-0.007002
0.016667	1.316667	999	-0.029988
0.016667	1.333333	999	-0.004718
0.016667	1.350000	999	0.051581
0.016667	1.366667	999	-0.016570
0.016667	1.383333	999	-0.014966
0.016667	1.400000	999	0.060983
0.016667	1.416667	999	-0.015220
0.016667	1.433333	999	0.007746
0.016667	1.450000	999	-0.003652
0.016667	1.466667	999	0.001202
0.016667	1.483333	999	0.042757
0.016667	1.500000	999	-0.013786
0.016667	1.516667	999	-0.019388
0.016667	1.533333	999	0.044329
0.016667	1.550000	999	0.002162
0.016667	1.566667	999	-0.043936
0.016667	1.583333	999	-0.049431
0.016667	1.600000	999	0.077569
0.016667	1.616667	999	-0.021802
0.016667	1.633333	999	-0.000728
0.016667	1.650000	999	-0.040722
0.016667	1.666667	999	0.037676
0.016667	1.683333	999	0.065976
0.016667	1.700000	999	-0.063525
0.016667	1.716667	999	-0.054841
0.016667	1.733333	999	0.033026
0.016667	1.750000	999	0.043150
0.016667	1.766667	999	-0.001746
0.016667	1.783333	999	-0.037211
0.016667	1.800000	999	0.020397
0.016667	1.816667	999	-0.026962
0.016667	1.833333	999	0.028237
0.016667	1.850000	999	-0.015199
0.016667	1.866667	999	-0.004724
0.016667	1.883333	999	0.010750
0.016667	1.900000	999	-0.017486
0.016667	1.916667	999	0.030357
0.016667	1.933333	999	0.021502
0.016667	1.950000	999	-0.018318
0.016667	1.966667	999	-0.036933
0.016667	1.983333	999	-0.016474
0.016667	2.000000	999	0.025519
0.016667	2.016667	999	-0.011559
0.016667	2.033333	999	0.023895
0.016667	2.050000	999	-0.024480
0.016667	2.066667	999	-0.036807
0.016667	2.083333	999	-0.009075
0.016667	2.100000	999	-0.010613
0.016667	2.116667	999	0.031163
0.016667	2.133333	999	-0.001373
0.016667	2.150000	999	0.010253
0.016667	2.166667	999	-0.018408
0.016667	2.183333	999	0.002374
0.016667	2.200000	999	0.010418
0.016667	2.216667	999	-0.005112
0.016667	2.233333	999	0.022407
0.016667	2.250000	999	-0.013157
0.016667	2.266667	999	-0.007449
0.016667	2.283333	999	-0.006550
0.016667	2.300000	999	-0.008914
0.016667	2.316667	999	-0.004230
0.016667	2.333333	999	-0.027983
0.016667	2.350000	999	0.005829
0.016667	2.366667	999	-0.031394
0.016667	2.383333	999	0.010075
0.016667	2.400000	999	-0.006327
0.016667	2.416667	999	0.003744
0.016667	2.433333	999	-0.005464
